task_id,answer,correct_answer
205,condition,elaboration
206,joint,joint
207,joint,joint
208,elaboration,elaboration
209,effect,sequence
210,evidence,evidence
211,purpose,purpose
212,restatement,elaboration
213,evidence,attribution
214,elaboration,elaboration
215,elaboration,elaboration
216,elaboration,antithesis
217,attribution,attribution
218,cause-effect,cause
219,contrast,concession
220,attribution,attribution
221,cause-effect,purpose
222,cause,joint
223,contrast,condition
224,attribution,attribution
225,cause,elaboration
226,concession,elaboration
227,contrast,joint
228,interpretation-evaluation,background
229,contrast,elaboration
230,contrast,contrast
231,condition,condition
232,background,elaboration
233,elaboration,elaboration
234,elaboration,elaboration
235,evidence,elaboration
236,purpose,purpose
237,elaboration,elaboration
238,contrast,contrast
239,elaboration,elaboration
240,comparison,evidence
241,elaboration,elaboration
242,joint,joint
243,elaboration,elaboration
244,concession,concession
245,purpose,purpose
246,evidence,attribution
247,background,elaboration
248,contrast,joint
249,cause-effect,joint
250,effect,elaboration
251,elaboration,joint
252,concession,joint
253,interpretation-evaluation,joint
254,elaboration,attribution
255,comparison,comparison
256,contrast,contrast
257,concession,joint
258,elaboration,attribution
259,contrast,contrast
260,concession,cause
261,contrast,contrast
262,elaboration,elaboration
263,condition,preparation
264,sequence,sequence
265,cause,cause
266,comparison,attribution
267,purpose,purpose
268,elaboration,elaboration
269,attribution,elaboration
270,contrast,contrast
271,cause-effect,cause
272,attribution,evidence
273,solutionhood,cause
274,sequence,sequence
275,cause,cause
276,elaboration,elaboration
277,concession,solutionhood
278,evidence,background
279,contrast,joint
280,purpose,purpose
281,concession,joint
282,attribution,attribution
283,sequence,sequence
284,effect,attribution
285,joint,joint
286,sequence,sequence
287,cause-effect,joint
288,concession,concession
289,joint,joint
290,concession,evaluation
291,evaluation,evaluation
292,purpose,purpose
293,condition,joint
294,background,background
295,cause-effect,elaboration
296,restatement,elaboration
297,evaluation,restatement
298,effect,cause
299,cause-effect,sequence
300,evaluation,evaluation
301,sequence,sequence
302,condition,condition
303,restatement,elaboration
304,background,background
305,joint,joint
306,condition,comparison
307,concession,concession
308,condition,joint
309,contrast,cause
310,antithesis,evaluation
311,sequence,sequence
312,joint,preparation
313,evidence,condition
314,elaboration,elaboration
315,evaluation,evaluation
316,joint,joint
317,attribution,attribution
318,contrast,preparation
319,effect,joint
320,attribution,attribution
321,joint,joint
322,background,background
323,antithesis,joint
324,cause,cause
325,cause-effect,elaboration
326,contrast,preparation
327,condition,condition
328,comparison,joint
329,elaboration,interpretation-evaluation
330,contrast,attribution
331,elaboration,elaboration
332,cause,cause
333,interpretation-evaluation,elaboration
334,elaboration,elaboration
335,antithesis,comparison
336,background,background
337,sequence,preparation
338,cause,elaboration
339,elaboration,joint
340,condition,condition
341,interpretation-evaluation,preparation
342,condition,condition
343,elaboration,elaboration
344,purpose,purpose
345,effect,elaboration
346,restatement,joint
347,antithesis,joint
348,comparison,condition
349,contrast,evaluation
350,elaboration,cause
351,restatement,attribution
352,joint,joint
353,evidence,elaboration
354,elaboration,elaboration
355,attribution,attribution
356,sequence,elaboration
357,attribution,attribution
358,restatement,preparation
359,attribution,attribution
360,contrast,contrast
361,preparation,cause
362,comparison,joint
363,evidence,elaboration
364,condition,condition
365,interpretation-evaluation,attribution
366,condition,evaluation
367,contrast,elaboration
368,background,background
369,attribution,condition
370,evaluation,elaboration
371,antithesis,joint
372,contrast,sequence
373,solutionhood,cause
374,sequence,sequence
375,cause,joint
376,contrast,background
377,cause-effect,joint
378,contrast,joint
379,cause-effect,condition
380,attribution,attribution
381,cause-effect,joint
382,elaboration,elaboration
383,contrast,contrast
384,condition,elaboration
385,attribution,attribution
386,concession,elaboration
387,sequence,sequence
388,contrast,contrast
389,evidence,elaboration
390,joint,joint
391,joint,joint
392,background,background
393,contrast,contrast
394,contrast,elaboration
395,joint,joint
396,background,elaboration
397,restatement,attribution
398,purpose,purpose
399,effect,interpretation-evaluation
400,sequence,sequence
401,attribution,attribution
402,elaboration,elaboration
403,cause-effect,joint
404,elaboration,elaboration
405,joint,joint
406,cause,cause
407,elaboration,elaboration
408,elaboration,joint
409,contrast,elaboration
410,elaboration,elaboration
411,purpose,condition
412,solutionhood,joint
413,cause-effect,cause
414,elaboration,elaboration
415,purpose,purpose
416,cause-effect,condition
417,evidence,cause
418,condition,condition
419,cause-effect,elaboration
420,evidence,elaboration
421,sequence,evaluation
422,motivation,elaboration
423,evaluation,elaboration
424,restatement,evidence
425,cause,elaboration
426,restatement,elaboration
427,cause-effect,joint
428,solutionhood,elaboration
429,elaboration,elaboration
430,antithesis,cause
431,condition,interpretation-evaluation
432,evaluation,evaluation
433,joint,joint
434,joint,preparation
435,joint,joint
436,background,background
437,contrast,contrast
438,restatement,joint
439,attribution,preparation
440,concession,concession
441,antithesis,preparation
442,joint,elaboration
443,evidence,elaboration
444,effect,effect
445,restatement,joint
446,elaboration,elaboration
447,joint,joint
448,concession,preparation
449,cause-effect,preparation
450,condition,joint
451,contrast,contrast
452,contrast,contrast
453,cause-effect,cause
454,contrast,contrast
455,elaboration,elaboration
456,sequence,sequence
457,cause-effect,preparation
458,sequence,sequence
459,cause-effect,cause
460,sequence,joint
461,cause-effect,cause
462,attribution,preparation
463,condition,joint
464,elaboration,preparation
465,antithesis,joint
466,interpretation-evaluation,interpretation-evaluation
467,joint,joint
468,cause-effect,joint
469,comparison,comparison
470,cause-effect,attribution
471,elaboration,restatement
472,evaluation,attribution
473,condition,condition
474,sequence,joint
475,cause,cause
476,contrast,evaluation
477,background,background
478,evidence,cause
479,contrast,contrast
480,comparison,comparison
481,background,joint
482,joint,joint
483,evaluation,evaluation
484,joint,evidence
485,elaboration,elaboration
486,cause-effect,joint
487,condition,condition
488,restatement,elaboration
489,cause,cause
490,cause,joint
491,attribution,elaboration
492,interpretation-evaluation,solutionhood
493,cause-effect,antithesis
494,elaboration,elaboration
495,cause,cause
496,background,background
497,restatement,attribution
498,sequence,sequence
499,restatement,contrast
500,cause,cause
501,evidence,preparation
502,contrast,condition
503,sequence,elaboration
504,cause-effect,cause-effect
505,joint,joint
506,contrast,contrast
507,condition,condition
508,evaluation,interpretation-evaluation
509,effect,elaboration
510,cause,cause
511,cause,elaboration
512,restatement,elaboration
513,purpose,joint
514,condition,preparation
515,cause,contrast
516,cause,cause
517,contrast,contrast
518,contrast,contrast
519,joint,joint
520,elaboration,solutionhood
521,evidence,cause
522,evidence,joint
523,cause-effect,condition
524,joint,joint
525,sequence,sequence
526,contrast,contrast
527,contrast,elaboration
528,concession,elaboration
529,contrast,contrast
530,sequence,condition
531,contrast,contrast
532,restatement,preparation
533,joint,joint
534,interpretation-evaluation,interpretation-evaluation
535,purpose,elaboration
536,joint,preparation
537,elaboration,elaboration
538,elaboration,elaboration
539,cause-effect,joint
540,joint,joint
541,background,joint
542,elaboration,elaboration
543,evidence,evidence
544,contrast,contrast
545,cause-effect,joint
546,condition,elaboration
547,evidence,elaboration
548,contrast,contrast
549,contrast,joint
550,attribution,joint
551,solutionhood,solutionhood
552,concession,evaluation
553,elaboration,elaboration
554,attribution,attribution
555,joint,joint
556,condition,joint
557,contrast,joint
558,condition,condition
559,elaboration,elaboration
560,elaboration,elaboration
561,cause,elaboration
562,joint,joint
563,background,background
564,effect,joint
565,attribution,attribution
566,contrast,contrast
567,elaboration,attribution
568,condition,purpose
569,motivation,elaboration
570,motivation,joint
571,condition,evaluation
572,restatement,restatement
573,joint,joint
574,restatement,purpose
575,restatement,joint
576,elaboration,elaboration
577,evidence,joint
578,concession,attribution
579,background,joint
580,concession,cause
581,attribution,attribution
582,contrast,contrast
583,purpose,purpose
584,elaboration,joint
585,joint,joint
586,elaboration,elaboration
587,comparison,comparison
588,evaluation,evaluation
589,purpose,purpose
590,joint,condition
591,attribution,joint
592,cause-effect,cause-effect
593,cause-effect,elaboration
594,restatement,evaluation
595,restatement,joint
596,restatement,comparison
597,background,elaboration
598,contrast,contrast
599,elaboration,elaboration
600,joint,joint
601,cause-effect,cause-effect
602,purpose,purpose
603,cause,cause
604,joint,elaboration
605,comparison,comparison
606,motivation,evaluation
607,condition,condition
608,sequence,sequence
609,joint,joint
610,joint,joint
611,evidence,evidence
612,evidence,evidence
613,joint,joint
614,purpose,purpose
615,sequence,sequence
616,solutionhood,attribution
617,concession,joint
618,contrast,joint
619,evaluation,solutionhood
620,joint,joint
621,interpretation-evaluation,joint
622,effect,contrast
623,background,interpretation-evaluation
624,motivation,elaboration
625,elaboration,elaboration
626,comparison,comparison
627,concession,joint
628,purpose,joint
629,comparison,elaboration
630,concession,joint
631,elaboration,elaboration
632,joint,joint
633,joint,joint
634,restatement,comparison
635,elaboration,elaboration
636,cause-effect,cause
637,cause,cause
638,purpose,condition
639,contrast,evidence
640,restatement,joint
641,effect,joint
642,contrast,comparison
643,concession,concession
644,joint,joint
645,cause,joint
646,condition,condition
647,attribution,attribution
648,condition,condition
649,antithesis,joint
650,evaluation,joint
651,evidence,evidence
652,contrast,contrast
653,contrast,contrast
654,comparison,preparation
655,sequence,elaboration
656,cause-effect,joint
657,evaluation,evaluation
658,sequence,sequence
659,elaboration,elaboration
660,condition,joint
661,purpose,purpose
662,background,elaboration
663,joint,joint
664,elaboration,joint
665,condition,condition
666,elaboration,purpose
667,joint,joint
668,preparation,condition
669,contrast,joint
670,restatement,evaluation
671,attribution,attribution
672,purpose,purpose
673,joint,joint
674,contrast,contrast
675,effect,cause
676,joint,joint
677,interpretation-evaluation,preparation
678,comparison,preparation
679,elaboration,elaboration
680,condition,joint
681,concession,concession
682,background,background
683,contrast,joint
684,comparison,comparison
685,joint,joint
686,elaboration,elaboration
687,evidence,elaboration
688,joint,joint
689,purpose,elaboration
690,joint,joint
691,condition,joint
692,sequence,sequence
693,joint,joint
694,antithesis,elaboration
695,evaluation,joint
696,antithesis,cause-effect
697,sequence,sequence
698,cause,cause
699,elaboration,joint
700,sequence,background
701,condition,condition
702,interpretation-evaluation,solutionhood
703,attribution,attribution
704,contrast,evidence
705,cause,elaboration
706,cause,cause
707,cause-effect,elaboration
708,cause-effect,joint
709,condition,joint
710,motivation,cause
711,sequence,preparation
712,comparison,condition
713,condition,condition
714,cause,background
715,purpose,purpose
716,background,elaboration
717,contrast,antithesis
718,cause,cause
719,evaluation,elaboration
720,cause-effect,cause
721,sequence,sequence
722,joint,joint
723,cause-effect,evaluation
724,evaluation,cause
725,elaboration,restatement
726,background,elaboration
727,restatement,cause
728,solutionhood,elaboration
729,elaboration,joint
730,evidence,contrast
731,effect,condition
732,elaboration,elaboration
733,motivation,joint
734,background,joint
735,sequence,sequence
736,purpose,purpose
737,contrast,contrast
738,background,contrast
739,purpose,condition
740,elaboration,elaboration
741,elaboration,elaboration
742,cause,cause
743,motivation,joint
744,joint,joint
745,elaboration,elaboration
746,background,elaboration
747,cause,cause
748,antithesis,joint
749,elaboration,elaboration
750,evaluation,joint
751,evidence,purpose
752,elaboration,elaboration
753,cause-effect,cause
754,condition,condition
755,joint,joint
756,purpose,preparation
757,attribution,attribution
758,elaboration,elaboration
759,attribution,attribution
760,purpose,purpose
761,elaboration,elaboration
762,joint,joint
763,motivation,elaboration
764,cause,cause
765,elaboration,elaboration
766,attribution,attribution
767,sequence,sequence
768,contrast,contrast
769,joint,joint
770,background,elaboration
771,joint,joint
772,elaboration,elaboration
773,background,preparation
774,evaluation,evaluation
775,elaboration,elaboration
776,purpose,preparation
777,condition,cause
778,purpose,purpose
779,sequence,sequence
780,elaboration,elaboration
781,antithesis,comparison
782,antithesis,joint
783,cause,cause
784,sequence,sequence
785,cause,cause
786,sequence,purpose
787,attribution,attribution
788,elaboration,elaboration
789,elaboration,contrast
790,elaboration,elaboration
791,concession,joint
792,background,background
793,elaboration,attribution
794,contrast,contrast
795,contrast,contrast
796,condition,condition
797,elaboration,elaboration
798,evidence,evidence
799,background,effect
800,comparison,comparison
801,background,elaboration
802,contrast,contrast
803,contrast,contrast
804,cause,cause
805,cause-effect,attribution
806,cause,elaboration
807,contrast,contrast
808,comparison,comparison
809,background,background
810,cause,evidence
811,joint,joint
812,joint,elaboration
813,contrast,evaluation
814,attribution,attribution
815,cause-effect,elaboration
816,elaboration,elaboration
817,restatement,attribution
818,attribution,attribution
819,elaboration,elaboration
820,condition,joint
821,cause-effect,contrast
822,concession,concession
823,concession,concession
824,contrast,contrast
825,background,elaboration
826,comparison,elaboration
827,restatement,elaboration
828,restatement,elaboration
829,purpose,purpose
830,elaboration,elaboration
831,effect,preparation
832,elaboration,elaboration
833,elaboration,elaboration
834,cause,joint
835,condition,condition
836,condition,condition
837,restatement,elaboration
838,elaboration,elaboration
839,attribution,attribution
840,joint,joint
841,elaboration,elaboration
842,condition,joint
843,elaboration,elaboration
844,restatement,comparison
845,cause,joint
846,background,joint
847,background,background
848,attribution,attribution
849,sequence,sequence
850,attribution,attribution
851,attribution,attribution
852,background,preparation
853,condition,condition
854,restatement,restatement
855,antithesis,preparation
856,cause-effect,purpose
857,sequence,sequence
858,restatement,elaboration
859,purpose,attribution
860,purpose,cause
861,evaluation,evaluation
862,contrast,joint
863,purpose,purpose
864,cause-effect,elaboration
865,contrast,preparation
866,restatement,elaboration
867,background,joint
868,background,cause
869,cause-effect,joint
870,elaboration,interpretation-evaluation
871,contrast,contrast
872,restatement,condition
873,contrast,contrast
874,attribution,joint
875,contrast,contrast
876,concession,elaboration
877,joint,joint
878,background,elaboration
879,contrast,elaboration
880,sequence,sequence
881,cause-effect,cause
882,elaboration,elaboration
883,background,joint
884,cause,cause
885,comparison,elaboration
886,evidence,evidence
887,condition,elaboration
888,joint,joint
889,condition,background
890,background,elaboration
891,condition,condition
892,purpose,purpose
893,comparison,elaboration
894,contrast,contrast
895,elaboration,elaboration
896,concession,evaluation
897,evidence,evidence
898,sequence,sequence
899,contrast,comparison
900,elaboration,elaboration
901,condition,preparation
902,restatement,restatement
903,contrast,joint
904,contrast,contrast
905,joint,joint
906,elaboration,elaboration
907,joint,joint
908,restatement,evidence
909,evidence,attribution
910,joint,joint
911,joint,joint
912,motivation,joint
913,condition,condition
914,cause,cause
915,concession,concession
916,contrast,contrast
917,elaboration,elaboration
918,contrast,contrast
919,joint,joint
920,concession,elaboration
921,restatement,joint
922,cause-effect,joint
923,effect,joint
924,preparation,condition
925,elaboration,evaluation
926,concession,joint
927,motivation,attribution
928,cause-effect,joint
929,attribution,joint
930,contrast,contrast
931,evidence,elaboration
932,cause,cause
933,sequence,sequence
934,elaboration,elaboration
935,joint,joint
936,attribution,attribution
937,cause,contrast
938,attribution,attribution
939,purpose,background
940,elaboration,elaboration
941,restatement,background
942,sequence,cause
943,evaluation,joint
944,joint,joint
945,cause,elaboration
946,elaboration,elaboration
947,elaboration,elaboration
948,contrast,joint
949,contrast,joint
950,restatement,elaboration
951,purpose,purpose
952,elaboration,elaboration
953,cause-effect,sequence
954,attribution,attribution
955,evaluation,joint
956,effect,elaboration
957,restatement,condition
958,evaluation,elaboration
959,contrast,cause
960,background,elaboration
961,joint,joint
962,elaboration,elaboration
963,cause,elaboration
964,cause-effect,joint
965,attribution,joint
966,elaboration,elaboration
967,joint,joint
968,evaluation,evaluation
969,evaluation,evaluation
970,elaboration,elaboration
971,solutionhood,cause
972,preparation,preparation
973,elaboration,elaboration
974,concession,joint
975,elaboration,preparation
976,contrast,contrast
977,attribution,attribution
978,cause-effect,joint
979,cause,condition
980,background,elaboration
981,elaboration,purpose
982,joint,elaboration
983,contrast,evaluation
984,contrast,comparison
985,contrast,contrast
986,elaboration,elaboration
987,evidence,evidence
988,contrast,joint
989,background,background
990,condition,elaboration
991,joint,antithesis
992,cause-effect,joint
993,antithesis,elaboration
994,elaboration,elaboration
995,elaboration,purpose
996,cause-effect,evaluation
997,concession,interpretation-evaluation
998,attribution,attribution
999,interpretation-evaluation,preparation
1000,cause,cause
1001,purpose,joint
1002,solutionhood,contrast
1003,elaboration,cause
1004,sequence,attribution
1005,restatement,solutionhood
1006,cause-effect,attribution
1007,contrast,contrast
1008,cause,cause
1009,background,background
1010,elaboration,elaboration
1011,elaboration,elaboration
1012,sequence,joint
1013,effect,joint
1014,purpose,purpose
1015,interpretation-evaluation,evaluation
1016,joint,joint
1017,condition,solutionhood
1018,restatement,joint
1019,sequence,attribution
1020,cause,cause
1021,interpretation-evaluation,elaboration
1022,elaboration,evidence
1023,evidence,evidence
1024,contrast,joint
1025,condition,condition
1026,joint,joint
1027,contrast,preparation
1028,elaboration,elaboration
1029,elaboration,elaboration
1030,joint,preparation
1031,effect,cause
1032,cause-effect,joint
1033,effect,attribution
1034,effect,joint
1035,contrast,contrast
1036,cause,cause
1037,cause,cause
1038,elaboration,elaboration
1039,evaluation,evaluation
1040,evidence,evidence
1041,background,sequence
1042,cause-effect,cause
1043,purpose,purpose
1044,background,joint
1045,elaboration,joint
1046,contrast,concession
1047,condition,evidence
1048,background,preparation
1049,contrast,cause
1050,purpose,purpose
1051,elaboration,elaboration
1052,motivation,preparation
1053,cause,condition
1054,evaluation,evaluation
1055,background,elaboration
1056,sequence,sequence
1057,cause-effect,contrast
1058,interpretation-evaluation,joint
1059,elaboration,preparation
1060,elaboration,elaboration
1061,restatement,elaboration
1062,concession,joint
1063,joint,joint
1064,joint,joint
1065,cause-effect,elaboration
1066,elaboration,elaboration
1067,elaboration,elaboration
1068,interpretation-evaluation,joint
1069,contrast,contrast
1070,purpose,joint
1071,joint,joint
1072,elaboration,elaboration
1073,purpose,joint
1074,effect,joint
1075,background,background
1076,purpose,purpose
1077,attribution,elaboration
1078,condition,condition
1079,cause-effect,evaluation
1080,cause,joint
1081,elaboration,elaboration
1082,elaboration,elaboration
1083,concession,concession
1084,elaboration,contrast
1085,evidence,elaboration
1086,antithesis,joint
1087,joint,sequence
1088,condition,condition
1089,joint,elaboration
1090,restatement,elaboration
1091,contrast,sequence
1092,cause-effect,evidence
1093,evidence,solutionhood
1094,preparation,joint
1095,solutionhood,elaboration
1096,cause,background
1097,contrast,contrast
1098,evidence,elaboration
1099,joint,joint
1100,cause,cause
1101,evaluation,joint
1102,elaboration,elaboration
1103,cause,cause
1104,joint,joint
1105,joint,joint
1106,concession,evidence
1107,evidence,background
1108,cause-effect,joint
1109,condition,evidence
1110,elaboration,elaboration
1111,cause-effect,cause
1112,cause,evaluation
1113,elaboration,elaboration
1114,elaboration,elaboration
1115,background,elaboration
1116,restatement,joint
1117,sequence,sequence
1118,evidence,elaboration
1119,cause,joint
1120,condition,condition
1121,sequence,joint
1122,attribution,attribution
1123,concession,concession
1124,cause,cause
1125,attribution,attribution
1126,attribution,attribution
1127,evaluation,background
1128,elaboration,elaboration
1129,attribution,attribution
1130,background,elaboration
1131,concession,preparation
1132,contrast,joint
1133,cause-effect,restatement
1134,purpose,evaluation
1135,joint,preparation
1136,condition,contrast
1137,purpose,purpose
1138,comparison,joint
1139,contrast,elaboration
1140,contrast,contrast
1141,sequence,sequence
1142,effect,elaboration
1143,cause-effect,condition
1144,concession,joint
1145,cause-effect,preparation
1146,purpose,joint
1147,attribution,attribution
1148,attribution,attribution
1149,elaboration,elaboration
1150,evidence,evidence
1151,cause,purpose
1152,elaboration,elaboration
1153,concession,joint
1154,evidence,elaboration
1155,cause,cause
1156,background,elaboration
1157,elaboration,joint
1158,solutionhood,joint
1159,evaluation,preparation
1160,joint,joint
1161,cause-effect,elaboration
1162,background,background
1163,sequence,joint
1164,comparison,comparison
1165,joint,joint
1166,purpose,purpose
1167,cause,cause
1168,cause-effect,cause-effect
1169,interpretation-evaluation,attribution
1170,contrast,contrast
1171,elaboration,elaboration
1172,background,background
1173,sequence,elaboration
1174,cause,condition
1175,purpose,purpose
1176,elaboration,elaboration
1177,motivation,attribution
1178,contrast,joint
1179,evidence,joint
1180,contrast,contrast
1181,elaboration,elaboration
1182,contrast,contrast
1183,elaboration,elaboration
1184,contrast,preparation
1185,sequence,joint
1186,antithesis,joint
1187,comparison,evaluation
1188,cause-effect,preparation
1189,elaboration,attribution
1190,attribution,elaboration
1191,cause,condition
1192,cause,cause
1193,cause-effect,preparation
1194,joint,joint
1195,comparison,joint
1196,purpose,purpose
1197,effect,joint
1198,cause,cause
1199,cause,sequence
1200,contrast,contrast
1201,contrast,contrast
1202,purpose,purpose
1203,evidence,evidence
1204,effect,purpose
1205,attribution,attribution
1206,motivation,elaboration
1207,contrast,contrast
1208,background,preparation
1209,attribution,attribution
1210,joint,joint
1211,cause,cause
1212,contrast,contrast
1213,restatement,evaluation
1214,concession,attribution
1215,purpose,interpretation-evaluation
1216,contrast,elaboration
1217,antithesis,joint
1218,contrast,contrast
1219,attribution,evaluation
1220,cause,joint
1221,contrast,contrast
1222,condition,condition
1223,elaboration,elaboration
1224,motivation,elaboration
1225,purpose,purpose
1226,elaboration,elaboration
1227,cause-effect,elaboration
1228,background,condition
1229,interpretation-evaluation,elaboration
1230,cause,cause
1231,elaboration,elaboration
1232,joint,joint
1233,attribution,joint
1234,effect,elaboration
1235,attribution,attribution
1236,cause,cause
1237,contrast,contrast
1238,background,background
1239,sequence,preparation
1240,cause-effect,joint
1241,evaluation,evaluation
1242,joint,joint
1243,cause,joint
1244,joint,joint
1245,cause-effect,sequence
1246,joint,elaboration
1247,sequence,preparation
1248,cause-effect,preparation
1249,joint,joint
1250,background,background
1251,elaboration,elaboration
1252,purpose,elaboration
1253,antithesis,evaluation
1254,evaluation,evaluation
1255,condition,elaboration
1256,elaboration,elaboration
1257,joint,joint
1258,cause,cause
1259,attribution,preparation
1260,joint,joint
1261,elaboration,elaboration
1262,cause,concession
1263,restatement,evaluation
1264,elaboration,elaboration
1265,background,motivation
1266,joint,joint
1267,contrast,cause
1268,cause-effect,joint
1269,evidence,evaluation
1270,sequence,sequence
1271,joint,joint
1272,effect,evaluation
1273,condition,condition
1274,attribution,attribution
1275,purpose,purpose
1276,elaboration,elaboration
1277,sequence,joint
1278,elaboration,elaboration
1279,comparison,comparison
1280,restatement,attribution
1281,sequence,sequence
1282,elaboration,elaboration
1283,restatement,elaboration
1284,background,background
1285,evidence,joint
1286,cause-effect,elaboration
1287,concession,cause
1288,cause-effect,elaboration
1289,preparation,preparation
1290,contrast,elaboration
1291,elaboration,background
1292,elaboration,evaluation
1293,sequence,sequence
1294,motivation,joint
1295,elaboration,joint
1296,restatement,elaboration
1297,joint,joint
1298,elaboration,elaboration
1299,joint,joint
1300,evaluation,joint
1301,contrast,contrast
1302,cause-effect,condition
1303,contrast,contrast
1304,elaboration,elaboration
1305,joint,joint
1306,contrast,contrast
1307,preparation,joint
1308,elaboration,elaboration
1309,effect,joint
1310,contrast,contrast
1311,solutionhood,purpose
1312,sequence,joint
1313,elaboration,elaboration
1314,elaboration,elaboration
1315,background,joint
1316,effect,evidence
1317,background,background
1318,attribution,joint
1319,purpose,joint
1320,concession,elaboration
1321,joint,joint
1322,joint,joint
1323,concession,joint
1324,preparation,preparation
1325,elaboration,elaboration
1326,elaboration,elaboration
1327,restatement,restatement
1328,contrast,contrast
1329,contrast,contrast
1330,purpose,elaboration
1331,cause-effect,evidence
1332,background,contrast
1333,motivation,background
1334,attribution,attribution
1335,restatement,interpretation-evaluation
1336,joint,joint
1337,contrast,contrast
1338,condition,condition
1339,joint,joint
1340,elaboration,elaboration
1341,sequence,preparation
1342,interpretation-evaluation,joint
1343,cause,cause
1344,cause-effect,cause-effect
1345,elaboration,elaboration
1346,sequence,elaboration
1347,contrast,contrast
1348,comparison,comparison
1349,elaboration,elaboration
1350,cause,cause
1351,sequence,sequence
1352,purpose,purpose
1353,cause,cause
1354,cause-effect,condition
1355,cause-effect,joint
1356,cause-effect,joint
1357,sequence,sequence
1358,purpose,purpose
1359,condition,contrast
1360,cause-effect,cause
1361,joint,joint
1362,purpose,purpose
